event,url,date,title,sentence,Deaths,Injury,Location,Date,Time
assault,https://www.al.com/crime/2020/09/1-dead-1-wounded-in-tuesday-night-mobile-shooting.html,2020-09-01,"1 dead, 1 wounded in Tuesday night Mobile shooting",Officers were initially called to Dauphin Island Parkway and Englewood Street on reports of a drive-by shooting.,0,0,1,0,0
assault,https://www.al.com/crime/2020/09/1-dead-1-wounded-in-tuesday-night-mobile-shooting.html,2020-09-01,"1 dead, 1 wounded in Tuesday night Mobile shooting","The bullet came through the rear passenger side door and struck the juvenile victim, police said.",0,1,0,0,0
assault,https://www.al.com/crime/2020/09/1-dead-1-wounded-in-tuesday-night-mobile-shooting.html,2020-09-01,"1 dead, 1 wounded in Tuesday night Mobile shooting","Then officers were called to the 1400 block of Brooke Avenue, where a woman said her 16-year-old grandson had been wounded while they were traveling east on McVay Drive toward Englewood Street.",0,1,1,0,0
assault,https://www.al.com/crime/2020/09/1-dead-1-wounded-in-tuesday-night-mobile-shooting.html,2020-09-01,"1 dead, 1 wounded in Tuesday night Mobile shooting","There they found Quintez Pryear, 35, inside a vehicle suffering from a gunshot wound.",0,1,0,0,0
assault,https://www.mlive.com/news/flint/2020/09/1-dead-3-in-custody-after-shooting-at-flint-township-mobile-home-park.html,2020-09-01,"1 dead, 3 in custody after shooting at Flint Township mobile home park",A 19-year-old man died after he was shot Wednesday afternoon at a Flint Township mobile home park.,1,0,1,1,1
assault,https://www.mlive.com/news/flint/2020/09/1-dead-3-in-custody-after-shooting-at-flint-township-mobile-home-park.html,2020-09-01,"1 dead, 3 in custody after shooting at Flint Township mobile home park","Officers with the Flint Township Police Department were dispatched around 1:30 p.m. Wednesday, Sept 2 to the 3100 block of Avalon Drive in the Villa Mobile Home Park off Torrey Road for a shooting.",0,0,1,1,1
assault,https://www.mlive.com/news/flint/2020/09/1-dead-3-in-custody-after-shooting-at-flint-township-mobile-home-park.html,2020-09-01,"1 dead, 3 in custody after shooting at Flint Township mobile home park",Police discovered the teen had been shot.,0,1,1,1,1
assault,https://www.mlive.com/news/flint/2020/09/1-dead-3-in-custody-after-shooting-at-flint-township-mobile-home-park.html,2020-09-01,"1 dead, 3 in custody after shooting at Flint Township mobile home park","The victim, whose name has not been released, was transported to a local hospital where he was later pronounced deceased.",1,0,0,0,0
assault,https://www.mlive.com/news/kalamazoo/2020/09/1-killed-in-cass-county-rollover-crash.html,2020-09-01,1 killed in Cass County rollover crash,"One person was killed late Monday, Aug. 31, in a single-vehicle crash",1,0,0,1,0
road accident,https://www.mlive.com/news/kalamazoo/2020/09/1-killed-in-cass-county-rollover-crash.html,2020-09-01,1 killed in Cass County rollover crash,The crash happened around 11:50 p.m. on Brownsville Street near Highland Road in Cass County’s Jefferson Township. ,0,0,1,0,1
road accident,https://wtop.com/prince-georges-county/2020/09/1-killed-in-sunday-night-inner-loop-crash/,2020-09-01,1 killed in Sunday night Inner Loop crash,One person was declared dead at the scene and another was transported to a local hospital with serious injuries,1,1,0,0,0
road accident,https://wtop.com/prince-georges-county/2020/09/1-killed-in-sunday-night-inner-loop-crash/,2020-09-01,1 killed in Sunday night Inner Loop crash,One person was killed and another was injured in a crash on the Inner Loop of the Capital Beltway on Sunday night.,1,1,1,1,1
road accident,https://wtop.com/prince-georges-county/2020/09/1-killed-in-sunday-night-inner-loop-crash/,2020-09-01,1 killed in Sunday night Inner Loop crash,"About 11 p.m., Prince George’s Fire and EMS responded to the incident just past the Greenbelt Metro entrance.",0,0,1,0,1
road accident,https://www.oregonlive.com/portland/2020/09/1-killed-1-hurt-in-se-portland-crash.html,2020-09-01,"1 killed, 1 hurt in SE Portland crash","One of them died at the scene, and the other was taken to a hospital.",1,1,0,0,0
road accident,https://www.oregonlive.com/portland/2020/09/1-killed-1-hurt-in-se-portland-crash.html,2020-09-01,"1 killed, 1 hurt in SE Portland crash","One person was killed and another injured in a crash early Tuesday in Southeast Portland’s Glenfair neighborhood, police say.",1,1,1,1,0
road accident,https://www.oregonlive.com/portland/2020/09/1-killed-1-hurt-in-se-portland-crash.html,2020-09-01,"1 killed, 1 hurt in SE Portland crash","Officers found two people seriously hurt, according to police.",0,1,0,0,0
road accident,https://www.oregonlive.com/portland/2020/09/1-killed-1-hurt-in-se-portland-crash.html,2020-09-01,"1 killed, 1 hurt in SE Portland crash",The crash occurred in the area of 153rd Avenue and Stark Street about 5 a.m.,0,0,1,0,1
road accident,https://www.latestly.com/agency-news/india-news-1-killed-3-injured-in-head-on-collision-between-motorcycles-in-up-2000714.html,2020-09-01,"1 Killed, 3 Injured in Head-on Collision Between Motorcycles in UP","A 28-year-old man was killed and three others were badly injured in a head-on collision between two motorcycles in Uttar Pradesh's Amethi district on Tuesday, police said.",1,1,1,1,0
road accident,https://www.latestly.com/agency-news/india-news-1-killed-3-injured-in-head-on-collision-between-motorcycles-in-up-2000714.html,2020-09-01,"1 Killed, 3 Injured in Head-on Collision Between Motorcycles in UP","Vipin Kumar, a resident of Sultanpur district, was killed and three others were seriously injured when their motorcycles collided with each other, Station House Officer Santosh Singh said.",1,1,0,1,1
road accident,https://www.latestly.com/agency-news/india-news-1-killed-3-injured-in-head-on-collision-between-motorcycles-in-up-2000714.html,2020-09-01,"1 Killed, 3 Injured in Head-on Collision Between Motorcycles in UP","The incident took place near Janta Nagar market under Piparpur police station, they said.",0,0,1,0,0
assault,https://www.nj.com/union/2020/09/1-man-killed-2-others-injured-in-shootings-that-occurred-minutes-apart-cops-say.html,2020-09-01,"1 man killed, 2 others injured in shootings that occurred minutes apart, cops say","Two shootings in Plainfield Monday night left one man dead and two others injured, according to Acting Union County Prosecutor Lyndsay V. Ruotolo and Plainfield Police Director Lisa Burgess.",1,1,1,1,1
assault,https://www.nj.com/union/2020/09/1-man-killed-2-others-injured-in-shootings-that-occurred-minutes-apart-cops-say.html,2020-09-01,"1 man killed, 2 others injured in shootings that occurred minutes apart, cops say","He died at the scene, officials said.",1,0,0,0,0
assault,https://www.nj.com/union/2020/09/1-man-killed-2-others-injured-in-shootings-that-occurred-minutes-apart-cops-say.html,2020-09-01,"1 man killed, 2 others injured in shootings that occurred minutes apart, cops say","Moments later, officers were called to the area of New and West 4th streets, where they found two men, ages 26 and 37, who had both been shot, according to investigators.",0,1,1,0,0
assault,https://www.nj.com/union/2020/09/1-man-killed-2-others-injured-in-shootings-that-occurred-minutes-apart-cops-say.html,2020-09-01,"1 man killed, 2 others injured in shootings that occurred minutes apart, cops say","Police were called about 9 p.m. to the 200 block of Pond Place, where they found a 23-year-old man seriously injured by gunfire. ",0,1,1,0,1
assault,https://www.wave3.com/2020/09/01/dead-critical-condition-following-shooting-iroquois-neighborhood/,2020-09-01,1 of 2 men killed in Iroquois neighborhood shooting identified,"Both men were transported to University Hospital, where one later died. ",1,0,1,0,0
assault,https://www.wave3.com/2020/09/01/dead-critical-condition-following-shooting-iroquois-neighborhood/,2020-09-01,1 of 2 men killed in Iroquois neighborhood shooting identified,Officers arrived on scene and found two male victims suffering from gunshot wounds.,0,1,0,0,0
assault,https://www.wave3.com/2020/09/01/dead-critical-condition-following-shooting-iroquois-neighborhood/,2020-09-01,1 of 2 men killed in Iroquois neighborhood shooting identified,One of two men who died after being shot in the Iroquois neighborhood has been identified.,1,0,1,0,0
assault,https://www.wave3.com/2020/09/01/dead-critical-condition-following-shooting-iroquois-neighborhood/,2020-09-01,1 of 2 men killed in Iroquois neighborhood shooting identified,"The shooting was reported in the 1400 block of Arling Avenue around 5:30 p.m. on Sept. 1, according to Louisville Metro Police Department spokeswoman Alicia Smiley.",0,0,1,1,1
road accident,https://www.kgw.com/article/news/local/1-dead-1-injured-in-se-portland-crash/283-a1a58180-11e8-4b76-9657-8923d2a19073,2020-09-01,"1 person dead, another injured in SE Portland crash",One person is dead and another injured after a crash in Southeast Portland on Tuesday morning.,1,1,1,1,1
road accident,https://www.kgw.com/article/news/local/1-dead-1-injured-in-se-portland-crash/283-a1a58180-11e8-4b76-9657-8923d2a19073,2020-09-01,"1 person dead, another injured in SE Portland crash",One person died in the crash.,1,0,0,0,0
road accident,https://www.kgw.com/article/news/local/1-dead-1-injured-in-se-portland-crash/283-a1a58180-11e8-4b76-9657-8923d2a19073,2020-09-01,"1 person dead, another injured in SE Portland crash",The crash happened at 5:10 a.m. in the area of Southeast 153rd Avenue and Stark Street.,0,0,1,0,1
assault,https://www.wbtw.com/news/1-person-injured-sent-to-hospital-in-monday-night-shooting-in-lumberton/,2020-09-01,"1 person injured, sent to hospital in Monday night shooting in Lumberton","After getting up, the victim was struck by a bullet.",0,1,0,0,0
assault,https://www.wbtw.com/news/1-person-injured-sent-to-hospital-in-monday-night-shooting-in-lumberton/,2020-09-01,"1 person injured, sent to hospital in Monday night shooting in Lumberton","Around 10:17 p.m. in the area of Lot 2 Cheryl Drive in Lumberton, police responded to a shots fired call that was later upgraded to a person shot, according to police.",0,1,1,0,1
assault,https://www.wbtw.com/news/1-person-injured-sent-to-hospital-in-monday-night-shooting-in-lumberton/,2020-09-01,"1 person injured, sent to hospital in Monday night shooting in Lumberton",Lumberton police are investigating after they say a man was shot Monday night at his home.,0,1,1,1,1
assault,https://www.wbtw.com/news/1-person-injured-sent-to-hospital-in-monday-night-shooting-in-lumberton/,2020-09-01,"1 person injured, sent to hospital in Monday night shooting in Lumberton","The victim was taken to Southeastern Regional Medical Center where he was treated before being sent to another hospital for further treatment, police said.",0,1,1,0,0
assault,https://www.jacksonville.com/story/news/crime/2020/09/01/tuesday-shooting-injures-man-jacksonville-apartment-complex/3454496001/,2020-09-01,1 shot in Westside Jacksonville apartment complex,"A man is in critical condition following an early Tuesday shooting at an apartment complex at 4375 Confederate Point Road, according to the Jacksonville Sheriff's Office.",0,1,1,1,0
assault,https://www.jacksonville.com/story/news/crime/2020/09/01/tuesday-shooting-injures-man-jacksonville-apartment-complex/3454496001/,2020-09-01,1 shot in Westside Jacksonville apartment complex,"Investigators believe the man was standing outside a building at the complex when he was shot, but had no description of the shooter.",0,1,0,0,0
assault,https://www.jacksonville.com/story/news/crime/2020/09/01/tuesday-shooting-injures-man-jacksonville-apartment-complex/3454496001/,2020-09-01,1 shot in Westside Jacksonville apartment complex,"Officers were called to the Heritage Apartments just east of Blanding Boulevard at 1:30 a.m. and found the man bleeding profusely from two gunshots wounds, police said.",0,1,1,0,1
assault,https://www.al.com/crime/2020/09/1-wounded-in-early-morning-huntsville-shooting.html,2020-09-01,1 wounded in early morning Huntsville shooting,Huntsville police are investigating a shooting that happened early this morning and left one person wounded.,0,1,1,0,1
assault,https://www.al.com/crime/2020/09/1-wounded-in-early-morning-huntsville-shooting.html,2020-09-01,1 wounded in early morning Huntsville shooting,"Lt. Michael Johnson said the incident happened at Club 3208, in the 3200 block of Long Avenue Southwest.",0,0,1,0,0
assault,https://www.al.com/crime/2020/09/1-wounded-in-early-morning-huntsville-shooting.html,2020-09-01,1 wounded in early morning Huntsville shooting,One person was wounded in the shooting.,0,1,0,0,0
assault,https://www.al.com/crime/2020/09/1-wounded-in-early-morning-huntsville-shooting.html,2020-09-01,1 wounded in early morning Huntsville shooting,Police were called to the scene about 1:30 a.m.,0,0,0,0,1
assault,https://www.al.com/crime/2020/09/1-wounded-in-early-morning-huntsville-shooting.html,2020-09-01,1 wounded in early morning Huntsville shooting,"The victim was transported to Huntsville Hospital in critical condition, Johnson said.",0,1,1,0,0
unrest,https://www.insider.com/most-kenosha-arrests-after-jacob-blake-shooting-from-outside-city-2020-9,2020-09-01,"102 out of 175 people arrested in Kenosha after the Jacob Blake shooting have been out-of-towners, police say",Blake's injuries mean he may never walk again.,0,1,0,0,0
unrest,https://www.insider.com/most-kenosha-arrests-after-jacob-blake-shooting-from-outside-city-2020-9,2020-09-01,"102 out of 175 people arrested in Kenosha after the Jacob Blake shooting have been out-of-towners, police say","Kyle Rittenhouse, a teen from Antioch, Illinois, charged with two killings in the unrest, is among that number.",1,0,1,0,0
unrest,https://www.insider.com/most-kenosha-arrests-after-jacob-blake-shooting-from-outside-city-2020-9,2020-09-01,"102 out of 175 people arrested in Kenosha after the Jacob Blake shooting have been out-of-towners, police say","The city is reeling from more than a week of unrest since the police shooting of Jacob Blake, a Black man, by a white police officer on August 23.",0,1,0,0,0
unrest,https://www.insider.com/most-kenosha-arrests-after-jacob-blake-shooting-from-outside-city-2020-9,2020-09-01,"102 out of 175 people arrested in Kenosha after the Jacob Blake shooting have been out-of-towners, police say","This includes Kyle Rittenhouse, the teen who has been charged with killing two people during the unrest.",1,0,0,0,0
hurricane,http://www.christianitydaily.com/articles/9788/20200901/14-year-old-girl-dies-from-hurricane-in-lousiana.htm,2020-09-01,14-year old girl dies from hurricane in Lousiana,"A 14-year-old young girl identified as, Cynthia Miller, was one of the 6 who was killed from the devastating hurricane incident.",1,0,0,0,0
hurricane,http://www.christianitydaily.com/articles/9788/20200901/14-year-old-girl-dies-from-hurricane-in-lousiana.htm,2020-09-01,14-year old girl dies from hurricane in Lousiana,"An unbelievable hurricane struck down homes in Louisiana, killing at least six people from the falling trees.",1,0,1,0,0
hurricane,http://www.christianitydaily.com/articles/9788/20200901/14-year-old-girl-dies-from-hurricane-in-lousiana.htm,2020-09-01,14-year old girl dies from hurricane in Lousiana,The National Hurricane Center reported the Laura slammed the border of the coast with winds of 150 mph at 1:00 a.m.,0,0,0,0,1
hurricane,https://wgno.com/news/15-confirmed-dead-in-louisiana-following-hurricane-laura/,2020-09-01,15 confirmed dead in Louisiana following Hurricane Laura,Hurricane Laura’s death toll continues to rise after the Louisiana Department of Health now confirms fifteen deaths across the state.,1,0,1,0,0
hurricane,https://wgno.com/news/15-confirmed-dead-in-louisiana-following-hurricane-laura/,2020-09-01,15 confirmed dead in Louisiana following Hurricane Laura,"The latest death comes out of central Louisiana, where a 49-year-old man died when a tree he was cutting fell on top of him.",1,0,1,0,0
road accident,https://www.680news.com/2020/09/01/teen-cyclist-killed-by-transport-truck-in-mississauga/,2020-09-01,16-year-old cyclist killed by transport truck in Mississauga,A teenage cyclist has been pronounced dead after a collision with an 18-wheeler in Mississauga.,1,0,1,0,0
road accident,https://www.680news.com/2020/09/01/teen-cyclist-killed-by-transport-truck-in-mississauga/,2020-09-01,16-year-old cyclist killed by transport truck in Mississauga,Peel Police were called to the area around 10:45 a.m. and found the body of the teenage boy under the back wheels of the transport truck.,1,0,0,0,1
assault,https://www.click2houston.com/news/local/2020/09/01/17-year-old-charged-in-fatal-shooting-of-sister-in-hockley-deputies-say/,2020-09-01,"17-year-old charged in fatal shooting of sister in Hockley, deputies say",Deputies are investigating after they said a 17-year-old shot and killed his sister in Hockley Monday.,1,0,1,1,0
assault,https://www.click2houston.com/news/local/2020/09/01/17-year-old-charged-in-fatal-shooting-of-sister-in-hockley-deputies-say/,2020-09-01,"17-year-old charged in fatal shooting of sister in Hockley, deputies say",Deputies said the shooting happened around 8 a.m. in the 24000 block of Palm Cockatoo Drive.,0,0,1,0,1
assault,https://www.click2houston.com/news/local/2020/09/01/17-year-old-charged-in-fatal-shooting-of-sister-in-hockley-deputies-say/,2020-09-01,"17-year-old charged in fatal shooting of sister in Hockley, deputies say","Deputies said they learned that during the argument, the victim’s brother retrieved a handgun from inside the residence and shot her one time in the chest.",0,1,0,0,0
assault,https://www.click2houston.com/news/local/2020/09/01/17-year-old-charged-in-fatal-shooting-of-sister-in-hockley-deputies-say/,2020-09-01,"17-year-old charged in fatal shooting of sister in Hockley, deputies say",Deputies said they performed CPR on the victim until EMS arrived and pronounced the victim deceased at the scene.,1,0,0,0,0
assault,https://www.click2houston.com/news/local/2020/09/01/17-year-old-charged-in-fatal-shooting-of-sister-in-hockley-deputies-say/,2020-09-01,"17-year-old charged in fatal shooting of sister in Hockley, deputies say","Upon arrival, deputies said they discovered the victim, a 23-year-old woman, unresponsive from an apparent gunshot wound to the chest. ",0,1,0,0,0
road accident,https://upnewsinfo.com/2020/09/01/17-year-old-charged-in-hit-and-run-crash-that-seriously-injured-2-in-natick/,2020-09-01,17-year-old charged in hit-and-run crash that seriously injured 2 in Natick,A 17-year-old male has been charged in connection with the alleged hit-and-run crash in Natick that injured two pedestrians in mid-August.,0,1,1,1,0
road accident,https://upnewsinfo.com/2020/09/01/17-year-old-charged-in-hit-and-run-crash-that-seriously-injured-2-in-natick/,2020-09-01,17-year-old charged in hit-and-run crash that seriously injured 2 in Natick,"During the Aug. 18 crash, authorities allege the suspect was under the influence of marijuana when the Chevy Silverado he was driving jumped the curb and struck the two pedestrians while they were walking on the sidewalk along Washington Avenue, near the Summer Street intersection, a release from the district attorney said. ",0,1,1,1,0
road accident,https://upnewsinfo.com/2020/09/01/17-year-old-charged-in-hit-and-run-crash-that-seriously-injured-2-in-natick/,2020-09-01,17-year-old charged in hit-and-run crash that seriously injured 2 in Natick,"The crash injured 51-year-old Kimberly Gunner, and her husband, Andrew Colbert, 39, both of Natick. Gunner and Colbert were rushed to trauma centers.",0,1,0,0,0
assault,https://www.nbcchicago.com/news/local/18-year-old-charged-in-fatal-shooting-of-student-activist/2332293/,2020-09-01,18-Year-Old Charged in Fatal Shooting of Student Activist,An 18-year-old man was charged in the fatal shooting of a 17-year-old student activist in West Rogers Park on the North Side.,1,0,1,0,0
assault,https://www.nbcchicago.com/news/local/18-year-old-charged-in-fatal-shooting-of-student-activist/2332293/,2020-09-01,18-Year-Old Charged in Fatal Shooting of Student Activist,"Martin allegedly shot the teen July 31 in the 1900 block of West Granville Avenue, police said. ",0,1,1,1,0
assault,https://www.tcpalm.com/story/news/crime/st-lucie-county/2020/09/01/charles-highlands-port-st-lucie-death-investigation-shooting-homicide/5680346002/,2020-09-01,"18-year-old whose death investigated as homicide was 'great kid,' dad says","Charles Highlands, who died in what Port St. Lucie police are investigating as a homicide, was a “great kid” who loved his younger brother and basketball.",1,0,0,0,0
assault,https://www.tcpalm.com/story/news/crime/st-lucie-county/2020/09/01/charles-highlands-port-st-lucie-death-investigation-shooting-homicide/5680346002/,2020-09-01,"18-year-old whose death investigated as homicide was 'great kid,' dad says","Highlands was in the driver seat and appeared to have a gunshot wound, a report states.",0,1,0,0,0
assault,https://www.tcpalm.com/story/news/crime/st-lucie-county/2020/09/01/charles-highlands-port-st-lucie-death-investigation-shooting-homicide/5680346002/,2020-09-01,"18-year-old whose death investigated as homicide was 'great kid,' dad says","The body of Highlands, 18, was found late Aug. 26 in a Toyota Camry in a parking lot in the 1200 block of Southwest Del Rio Boulevard, according to Port St. Lucie police. ",1,0,1,1,0
assault,https://www.siouxlandproud.com/news/19-year-old-charged-with-attempted-murder-in-shooting-of-2-chicago-officers/,2020-09-01,19-year-old charged with attempted murder in shooting of 2 Chicago officers,"A 19-year-old man has been charged after two Chicago officers were shot Sunday, according to police.",0,1,1,1,0
assault,https://www.siouxlandproud.com/news/19-year-old-charged-with-attempted-murder-in-shooting-of-2-chicago-officers/,2020-09-01,19-year-old charged with attempted murder in shooting of 2 Chicago officers,"According to the Chicago Police Department, two officers pulled a car over on the city’s West Side around 2:30 a.m. Sunday.",0,0,0,1,1
assault,https://www.siouxlandproud.com/news/19-year-old-charged-with-attempted-murder-in-shooting-of-2-chicago-officers/,2020-09-01,19-year-old charged with attempted murder in shooting of 2 Chicago officers,"After a struggle, both officers were shot — one in the chest and shoulder and the other in the chest, back and arm, police said.",0,1,0,0,0
assault,https://www.siouxlandproud.com/news/19-year-old-charged-with-attempted-murder-in-shooting-of-2-chicago-officers/,2020-09-01,19-year-old charged with attempted murder in shooting of 2 Chicago officers,They said a third officer at the scene shot the suspect.,0,1,0,0,0
assault,https://www.wafb.com/2020/09/01/arrested-after-year-old-killed-robbery-attempt-delaware-street/,2020-09-01,2 arrested after 19-year-old killed in robbery attempt on Delaware Street,Two people have been arrested in connection with a robbery attempt that resulted in a 19-year-old male being shot and killed.,1,0,0,0,0
